idfilm,titre,AnnéedeSortie,genre,description,notefilm,prixfilm
1,"Indiana Jones et les Aventuriers de l'arche perdue",2017,Aventure,"Un archéologue intrépide part à la recherche d'artefacts antiques.",1,9.65
2,"Le Monde de Nemo",2019,"Documentaire pour enfants","Un poisson clown part à la recherche de son fils perdu dans l'océan.",10,4.55
3,"Shutter Island",2010,Psychologique,"Des enquêteurs découvrent des secrets sombres sur une île psychiatrique.",8,3.66
4,Scarface,2016,Crime,"Un immigrant cubain monte dans le monde du crime à Miami.",2,9.93
5,"Il faut sauver le soldat Ryan",2009,Guerre,"Un groupe de soldats américains part à la recherche d'un soldat disparu pendant la Seconde Guerre mondiale.",10,5.24
6,Gladiator,2020,Action,"Un ancien général romain cherche à se venger de l'assassinat de sa famille.",6,0.96
7,"La La Land",2023,Comédie,"Une romance musicale à Hollywood.",5,5.70
8,"Le Silence des agneaux",2009,Drame,"Un agent du FBI recherche un tueur en série avec l'aide d'un psychopathe.",3,0.12
9,"Forrest Gump",2008,"Comédie dramatique","La vie extraordinaire d'un homme simple.",8,5.36
10,"Harry Potter à l'école des sorciers",2013,"Fiction jeunesse","Un jeune sorcier découvre le monde de la magie.",1,5.47
11,"Les Misérables",2016,"Film musical","Une adaptation musicale du célèbre roman de Victor Hugo.",7,2.82
12,"Pulp Fiction",2011,Policier,"Des histoires entrelacées de gangsters, de boxeurs et de tueurs.",5,7.78
13,"Mission: Impossible",2015,Espionnage,"Un agent secret doit déjouer une conspiration internationale.",7,6.67
14,Interstellar,2006,"Science fiction","Un voyage spatial pour sauver l'humanité.",3,3.09
15,"Le Seigneur des Anneaux : La Communauté de l'anneau",2023,Fantastique,"Une quête pour détruire un anneau maléfique et sauver le monde.",8,7.42
16,L'Exorciste,2014,Horreur,"Un prêtre catholique tente d'exorciser un démon d'une jeune fille possédée.",8,0.17
17,"Il était une fois dans l'Ouest",2019,Western,"Une histoire de vengeance dans le Far West.",10,3.02
18,"Le Parrain",2017,Crime,"Le chef d'une famille mafieuse cherche un successeur.",6,7.27
19,"Les Dents de la mer",2023,Thriller,"Un grand requin blanc terrorise une ville côtière.",6,0.05
20,"Le Roi Lion",2007,Animation,"Un jeune lion hérite du royaume et doit apprendre à devenir roi.",6,7.86
21,Inception,2007,"Science fiction","Des voleurs d'esprit plongent dans les rêves des autres pour voler des secrets.",2,7.31
22,Titanic,2007,Romance,"Une histoire d'amour épique à bord d'un paquebot.",3,26.51
23,"Le Fabuleux Destin d'Amélie Poulain",2016,"Comédie romantique","Une jeune femme timide cherche le bonheur à Paris.",5,4.68
24,"Jurassic Park",2021,Fantastique,"Des dinosaures ramenés à la vie dans un parc à thème.",10,3.00
